Id,WnvPresent
1,0.00999120627614115
2,0.00404397839099509
3,0.0226249649024851
4,0.0027881855327031
5,0.0027881855327031
6,0.0027881855327031
7,0.0027881855327031
8,0.0027881855327031
9,0.00532912201634881
10,0.00385846613130682
11,0.0231289440493288
12,0.001351846854829
13,0.001351846854829
14,0.001351846854829
15,0.001351846854829
16,0.001351846854829
17,0.00992218356693102
18,0.00413461579695177
19,0.028105821540056
20,0.00338172684497849
21,0.00338172684497849
22,0.00338172684497849
23,0.00338172684497849
24,0.00338172684497849
25,0.00376665540051274
26,0.00337735521908369
27,0.018647763219339
28,0.000893704100709746
29,0.000893704100709746
30,0.000893704100709746
31,0.000893704100709746
32,0.000893704100709746
33,0.00377054421446369
34,0.00351332655643351
35,0.0161076702741675
36,0.000833320356496607
37,0.000833320356496607
38,0.000833320356496607
39,0.000833320356496607
40,0.000833320356496607
41,0.0049728861801028
42,0.0034978712290924
43,0.01608114398426
44,0.00109018812236957
45,0.00109018812236957
46,0.00109018812236957
47,0.00109018812236957
48,0.00109018812236957
49,0.00377054421446369
50,0.00347156567905687
51,0.0161076702741675
52,0.000833320356496607
53,0.000833320356496607
54,0.000833320356496607
55,0.000833320356496607
56,0.000833320356496607
57,0.00344329177109332
58,0.00354632231780149
59,0.0172221126386481
60,0.000693704100709743
61,0.000693704100709743
62,0.000693704100709743
63,0.000693704100709743
64,0.000693704100709743
65,0.0035599861124157
66,0.00366053295554367
67,0.0210793746091368
68,0.000749574355828073
69,0.000749574355828073
70,0.000749574355828073
71,0.000749574355828073
72,0.000749574355828073
73,0.00581136840968795
74,0.00407537018670364
75,0.0181482742916055
76,0.00124468826320799
77,0.00124468826320799
78,0.00124468826320799
79,0.00124468826320799
80,0.00124468826320799
81,0.00358849416020874
82,0.00316754348769486
83,0.0160243179274339
84,0.000771428185962573
85,0.000771428185962573
86,0.000771428185962573
87,0.000771428185962573
88,0.000771428185962573
89,0.0165391702391977
90,0.00447707136578763
91,0.0238857299396751
92,0.00490761217246892
93,0.00490761217246892
94,0.00490761217246892
95,0.00490761217246892
96,0.00490761217246892
97,0.0110273343594309
98,0.00367571854633635
99,0.0221868765285394
100,0.00274724793873145
101,0.00274724793873145
102,0.00274724793873145
103,0.00274724793873145
